rule_key,rule_group,page,modality,applicability,confidence,mvp_tier,required_shots,dup_count,check_method,rule_text
internal-proposal-recommend-after-floorplan,process,6,should,needs_metadata_or_context,high,human_queue_metadata,na,1,"Timing of proposal submission relative to floorplan approval is a workflow fact, not in a photo.","After the site is approved the franchisee may submit the internal signage proposal at any time, but it is recommended to wait until the floorplan has been approved before submitting any signage proposal."
internal-proposal-show-measurements,process,6,must,needs_metadata_or_context,high,human_queue_metadata,na,1,Proposal-content requirement; checkable only against the submitted proposal document.,The internal signage proposal must show the measurements for the signage so F45 HQ can verify it will be installed in accordance with F45 HQ specifications.
internal-proposal-show-walls-with-overlay,process,6,must,needs_metadata_or_context,high,human_queue_metadata,na,1,"A content requirement of the submitted proposal document; tested against the proposal PDF, not the finished studio.","The internal signage proposal must show, in a photograph, the walls on which signage is to be installed, with the proposed signage overlaid on top of the relevant image."
internal-signage-submit-approval,process,10,must,needs_metadata_or_context,high,human_queue_metadata,na,1,Requires the HQ approval record/email; not visible in a studio photo.,The internal signage proposal must be submitted to F45 HQ for review and written approval before fabrication/installation; HQ confirms in writing whether it is approved or needs modification.
keep-document-confidential,process,4,must,needs_metadata_or_context,high,human_queue_metadata,na,1,"Confidentiality and reproduction are document-handling behaviours, not features of a studio photo.","The franchisee is required to keep this document confidential except where the law allows sharing, and may not reproduce it in whole or in part without F45's prior written consent."
keep-document-updated-from-intranet,process,3,should,needs_metadata_or_context,high,human_queue_metadata,na,1,Currency of the franchisee's knowledge against the latest Playbook version is not observable in a photo; needs version/context data.,"The franchisee is encouraged to keep up to date with the policies and procedures on the F45 Intranet (F45Playbook.com), and is given reasonable time to effect changes when requirements are updated."
landlord-letter-required-to-skip-window-signage,process,"25, 38",process,needs_metadata_or_context,high,human_queue_metadata,na,1,"This is a documentation/approval workflow step; verification requires the landlord letter or lease clause and HQ approval record, none of which are in a storefront photo.","Before HQ approves a studio not installing window wraps or the window racing stripe, the franchisee must provide a letter from the landlord or a specific lease section confirming window signage is not permitted."
large-teardrop-banner-bleed,process,45,process,needs_metadata_or_context,high,human_queue_metadata,na,1,Bleed is a print-file/artwork prep spec not visible in the finished installed banner; verifiable only from the production artwork file.,"The large teardrop banner artwork must allow for 2"" bleed on all sides."
legacy-internal-signage-not-installed,process,5,must,needs_metadata_or_context,medium,human_queue_metadata,na,1,Requires knowing the current vs legacy decal artwork to distinguish them; a vision model can flag old-style artwork only if given reference images of legacy vs current designs.,"Legacy F45 internal signage designs/decals (which may ship in the equipment pack) must not be installed, as they are no longer compliant."
logo-opacity-agreed-in-production,process,20,process,needs_metadata_or_context,medium,human_queue_metadata,na,1,Whether the installed opacity matches what was agreed requires the production agreement record; a photo cannot establish the agreed value.,The opacity of the glass logo lockup / door decal is to be agreed in production with F45.
no-alter-after-approval,process,5,must,needs_metadata_or_context,high,human_queue_metadata,na,1,Detecting an alteration requires comparing the installed photo against the specific approved rendering on file; the baseline is not in the photo.,"Once approval is obtained, the franchisee must not alter or modify the signage in any manner, and installation must strictly accord with the terms of the F45 approval."
no-modification-after-install,process,6,must,needs_metadata_or_context,high,human_queue_metadata,na,1,"Detecting unauthorized modifications requires comparison against the approved baseline submission, not available in a single photo.","Once internal signage is installed, it must not be altered, modified, or supplemented with additional signage without prior written approval from F45 HQ."
no-modify-or-add-after-install,process,6,must,needs_metadata_or_context,high,human_queue_metadata,na,1,Requires comparing against the approved baseline and checking for any written approval of additions; neither is in the photo.,"Once signage is installed, the franchisee must not alter or modify it or install additional signage without prior written approval from F45 HQ."
posters-additional-branding-presence,process,41,optional,needs_metadata_or_context,low,human_queue_metadata,na,1,The posters page provides options/imagery without explicit installation constraints; no measurable mandatory rule beyond using approved poster artwork.,Posters are provided as an additional signage and branding option for the studio.
proposal-single-document-pdf,process,6,must,needs_metadata_or_context,high,human_queue_metadata,na,1,"A property of the submitted proposal file, not of the installed studio; checkable only against the submission artifact.","Each signage proposal (internal and external) must be in a single document, preferably a PDF."
provide-verification-on-request,process,3,must,needs_metadata_or_context,high,human_queue_metadata,na,1,"Whether documents were furnished on request is tracked in HQ correspondence/records, not visible in a studio photo.","On F45's request, the franchisee must provide information, documents and/or receipts to verify compliance, within any specified time or otherwise as soon as possible."
return-document-on-business-end,process,4,must,needs_metadata_or_context,high,human_queue_metadata,na,1,"Return of a loaned manual on termination is an administrative event tracked by HQ, not photographable.",The document is on loan and remains F45 Group property; if the business finishes the franchisee must return the manual along with any amendments to F45.
small-teardrop-banner-bleed,process,45,process,needs_metadata_or_context,high,human_queue_metadata,na,1,"Print-file spec; verifiable only from the production artwork, not the installed banner.","The small teardrop banner artwork must allow for 2"" bleed on all sides."
strict-compliance-unless-written-approval,process,3,must,needs_metadata_or_context,high,human_queue_metadata,na,1,"A photo can flag an apparent deviation from a spec, but whether the deviation is permitted requires checking F45's written-approval records, which are not in the photo.",The franchisee must strictly observe all requirements set out in the document unless prior written approval to deviate is obtained from F45.
submit-professional-renderings-before-fabrication,process,6,must,needs_metadata_or_context,high,human_queue_metadata,na,1,"Pre-fabrication rendering submission is a timeline/document fact, not photographable from the finished studio.",Professional signage renderings must be submitted for approval prior to having the signage created and installed.
submit-proposal-for-approval,process,5,process,needs_metadata_or_context,high,human_queue_metadata,na,1,"Submission and direction-following are workflow events in HQ's review system, not features of an installed-signage photo.","The franchisee is required to submit their proposal for Internal Signage and External Signage to F45 for approval, and must follow any directions or requests from F45 regarding modification of the proposals."
wall-logo-submit-wall-dimensions,process,12,must,needs_metadata_or_context,high,human_queue_metadata,na,1,"Requires the submission document, not the installed photo.","When submitting internal signage for approval, the franchisee must provide the wall dimensions."
wrap-printing-step1-choose-images,process,37,process,needs_metadata_or_context,medium,human_queue_metadata,na,1,"Workflow step; verify selected imagery matches the approved option set, which requires the approved-image library as reference.",Step 1 of printing: review the window wrap/poster/A-frame options on pages 29-33 and choose which images to use for the window wraps.
wrap-printing-step2-highres-folder,process,37,process,needs_metadata_or_context,medium,human_queue_metadata,na,1,Workflow/source-provenance step; not verifiable from a photo.,Step 2 of printing: download the selected high-res image(s) from the 'High-Res Image Folder' in Playbook under Studio Signage Files.
wrap-printing-step3-illustrator-template,process,37,process,needs_metadata_or_context,medium,human_queue_metadata,na,1,Workflow step; not verifiable from a photo.,"Step 3 of printing: download the Adobe Illustrator file 'Window Wrap Text Templates' (with or without an image, per preference)."
wrap-qr-created-via-generator,process,37,process,needs_metadata_or_context,medium,human_queue_metadata,na,1,"This is a production-process step; vision can only confirm a QR exists in the designated area, not how it was generated.",The QR code must be created via a QR code generator (qr-code-generator.com) driving people to the studio landing page and inserted in the indicated area on the wrap image.
advice-not-professional-substitute,process,4,process,human_review_only,high,human_queue_legal,na,1,A disclaimer/responsibility statement; not a photo-checkable studio condition.,"Advice and information in this document cannot be relied upon as or substituted for professional advice; the franchisee is individually responsible for its business, legal, tax and accounting decisions and should seek independent professional advice as needed."
agreement-prevails-on-inconsistency,process,4,must,human_review_only,high,human_queue_legal,na,1,A conflict-of-terms precedence rule for interpreting documents; not a photo-checkable studio condition.,"Where this document is inconsistent with the franchisee's Agreement, the terms of the Agreement prevail to the extent of the inconsistency."
deviation-is-breach-until-remedied,process,3,must,human_review_only,high,human_queue_legal,na,1,"Whether a given state constitutes a contractual breach is a legal determination, not something a vision model decides; the model can at most flag the underlying spec mismatch.",Any deviation from F45 HQ Global Signage standards may constitute a breach of the Franchise Agreement until the signage is brought back into compliance.
familiarise-with-obligations,process,3,must,human_review_only,high,human_queue_legal,na,1,Knowledge/awareness of obligations is not observable in a studio photo.,"The franchisee must familiarise themselves with their obligations under the Agreement, this document, and other F45 policies and procedures."
glossary-capitalised-terms,process,4,process,human_review_only,high,human_queue_legal,na,1,Definitional interpretation aid; not testable against a photo.,"Unless indicated otherwise, capitalised terms in the document have the meaning given to them in Annexure A (Glossary of Terms)."
hq-discretion-over-design,process,5,process,human_review_only,high,human_queue_legal,na,1,An HQ discretionary authority statement; not a fixed spec a photo can be measured against.,"F45 has the right, at its absolute discretion, to determine the design, layout, and type of signage installed in the studio (signage varies with each studio's setup and layout)."
hq-may-require-replacement-of-incorrect-signage,process,6,process,human_review_only,high,human_queue_legal,na,1,"A reserved HQ remedy/right, not a measurable studio attribute; the model can flag 'looks incorrect' but the replacement decision is HQ's.","F45 HQ reserves the right to require the replacement of any incorrect signage, and to require correction; do not fabricate or install signage prior to HQ approval."
internal-signage-pro-installer,process,10,must,human_review_only,high,human_queue_legal,na,1,Cannot be determined from a photo; requires invoice/vendor documentation. A vision model could only flag obviously amateur/uneven installation quality as a weak proxy.,"All internal signage must be mocked up, created, and installed by a professional signage provider."
must-language-is-requirement,process,3,must,human_review_only,high,human_queue_legal,na,1,This is an interpretive/legal meta-rule about how to read the document. A vision model cannot test it against a photo; it governs classification of other rules.,"Wherever the document uses 'must' or similar words, the statement is a binding requirement (not a guideline) and the franchisee is expected to comply; failure may be a breach of the Agreement."
non-conforming-signage-blocks-opening,process,5,must,human_review_only,high,human_queue_legal,na,1,Open-to-trade authorisation is an HQ decision contingent on a conformance judgement; the model can flag mismatch but not decide the consequence.,"If installed signage does not accord with the F45 approval, the studio will not be approved to open."
recommend-professional-installer,process,5,should,human_review_only,medium,human_queue_legal,na,1,Recommendation about installer choice; not observable in a photo and overlaps with the stronger 'must' on page 6.,F45 highly recommends using a professional signage installer for internal and external signage.
use-professional-installer,process,"5,6",must,human_review_only,medium,human_queue_legal,na,1,"Install quality may hint at professionalism, but who installed the signage is not reliably determinable from a phone photo and 'professional' is a quality judgement.",For both internal and external signage the franchisee must engage the services of a professional signage installer.
wrap-follow-guidelines-brand-integrity,process,37,should,human_review_only,low,human_queue_legal,na,1,General adherence/quality statement; subjective and requires holistic human review.,Franchisees should carefully follow these printing guidelines as closely as possible to ensure brand integrity.
preopen-door-covering-qr-and-details,qr-code,28,should,auto_vision,medium,mvp_core,storefront,1,Detect a QR code graphic and accompanying studio-details text block on the pre-open blue door covering.,The pre-open door covering should include a QR code plus studio details.
google-review-cling-qr-from-gmb,qr-code,43,process,needs_metadata_or_context,medium,human_queue_metadata,storefront,1,"Decoding the QR can reveal it points to a Google review link, but confirming it is *this studio's* GMB profile requires the studio's GMB reference.",The Google Review cling QR code must be generated from the studio's Google My Business 'ask for reviews' link (copied into a QR generator) and inserted into the Google Review sticker template.
wrap-qr-unique-studio-landing-url,qr-code,37,must,needs_metadata_or_context,medium,human_queue_metadata,storefront,1,"Decoding the QR from a clear photo can reveal the destination URL, but verifying it is the *correct, unique* studio landing page requires knowing that studio's expected URL (metadata).",The QR code on the window wrap must be a unique link that drives directly to the specific studio's landing page URL.
racing-stripe-run-all-windows,racing-stripe,25,must,auto_vision,high,phase2_ref,storefront,1,"Across a storefront photo, confirm the stripe is present and continuous across every exterior window, with no windows lacking the stripe.",The racing stripe must run along all exterior windows.
racing-stripe-runs-all-exterior-windows,racing-stripe,25,must,auto_vision,high,phase2_ref,storefront,1,"Across a storefront photo (or set of photos covering the facade), verify the stripe is present and continuous at the same height across every exterior window panel, with no windows omitted.",The external window racing stripe must run along all exterior windows.
racing-stripe-tagline-multi-windows-alternating,racing-stripe,25,must,auto_vision,medium,phase2_ref,storefront,1,"Detect the door, then for the windows on each side OCR the stripe taglines and verify both taglines appear and alternate (A,B,A,B...) across the windows on each side of the door.",Studios with more than one (1) window on either side of the storefront door will install both the 'Team Training. Life Changing.' and '45 Minutes To Change Your Life' taglines on both sides in an alternating fashion.
racing-stripe-tagline-one-window,racing-stripe,25,must,auto_vision,high,phase2_ref,storefront,1,"Count storefront windows; if one window, OCR the stripe text and confirm it reads 'Team Training. Life Changing.' and that the '45 Minutes To Change Your Life' tagline is not present.",Studios with one (1) storefront window will install only the 'Team Training. Life Changing.' tagline on the racing stripe.
racing-stripe-tagline-two-windows,racing-stripe,25,must,auto_vision,high,phase2_ref,storefront,1,"If two storefront windows are detected, OCR each window's stripe text and verify left = 'Team Training. Life Changing.' and right = '45 Minutes To Change Your Life'. Confirm left/right ordering from the facing-the-storefront viewpoint.",Studios with two (2) storefront windows will install the 'Team Training. Life Changing.' tagline on the left window and the '45 Minutes To Change Your Life' tagline on the right window.
racing-stripe-height-27p5in-to-base,racing-stripe,25,must,needs_scale_reference,high,phase2_measure,storefront,2,"Measure the vertical distance from the ground to the bottom edge of the stripe using a known scale reference in the frame (door height ~80in, a standard window mullion, or a placed scale marker), then convert pixels to inches and compare to 27.5in.",The external window racing stripe must be installed 27.5 inches (70cm) from the ground to the base of the stripe.
racing-stripe-width-10in,racing-stripe,25,must,needs_scale_reference,high,phase2_measure,storefront,2,"Measure the band thickness of the stripe in pixels and convert using a known scale reference in the frame, then compare to 10in. Relative check: the stripe band should read ~10in against the ~27.5in base height (roughly 0.36x the base-height dimension).",The external window racing stripe must be 10 inches (25.5cm) in width (stripe height/thickness).
red-stripe-above-dark-gray-1p5in,racing-stripe,15,must,needs_scale_reference,high,phase2_measure,storefront,2,Detect a red horizontal stripe just above the dark gray band; confirm red color family from photo and measure ~1.5in width via a known reference.,A red stripe with a width of 1.5 inches must be painted immediately above the dark gray section on the workout-area front and back walls.
racing-stripe-fallback-when-wraps-restricted,racing-stripe,25,must,needs_metadata_or_context,high,human_queue_metadata,storefront,2,"A photo can confirm whether a racing stripe is present, but whether it is the required treatment depends on the landlord/city restriction status, which is external context.","Where window wraps are restricted by the landlord or city, an external window racing stripe must be installed."
racing-stripe-perforated-material,racing-stripe,25,must,needs_metadata_or_context,medium,human_queue_metadata,storefront,1,"Perforation can sometimes be inferred from a close-up exterior macro shot (fine dot pattern) or an interior shot showing see-through, but a standard storefront phone photo cannot reliably confirm the material is perforated.",The racing stripe must be fabricated using perforated material so that it is not visible from the inside of the studio (one-way view).
red-stripe-color-code,racing-stripe,9,must,needs_metadata_or_context,high,human_queue_metadata,storefront,1,Vision confirms a saturated red family; exact compliant SKU requires paint documentation or a calibrated color reference.,The 1.5-inch stripe (front and back walls of the training area) must use the compliant red paint (Sherwin Williams SW 6868 Real Red / Dulux 16YR 16/594 Matador / Taubmans T12 25.H1 Hi-C Red / British Paints 186 Red Bauble).
desk-signage-team-studio-name-center-front,reception,16,must,auto_vision,medium,mvp_core,reception,1,Detect text signage reading 'Team <studio name>' centered on the front face of the reception desk.,Desk signage featuring 'Team [Studio Name]' must be installed on the center front of the desk.
retail-racks-wall-affixed,reception,17,must,auto_vision,low,mvp_core,reception,1,Confirm retail racks/shelving are mounted on the retail wall.,Retail racks must be affixed to the retail wall.
desk-signage-3d-or-led,reception,16,optional,auto_vision,medium,human_queue,reception,1,Confirm the desk signage is one of the two allowed forms (raised 3D lettering or LED backlit); both are compliant.,The desk signage may be installed as either a 3D sign or an LED backlit sign.
reception-logo-centered-above-desk-backlit,reception,16,must,auto_vision,medium,human_queue,reception,1,"In a reception photo, verify an F45 logo horizontally centered above the desk and showing backlit/illuminated characteristics.",The F45 logo must be centered above the desk in the reception area and be backlit with LED lighting.
reception-v-proportionate-to-logo,reception,16,must,auto_vision,medium,human_queue,reception,1,Compare relative scale of the reception V to the reception logo against the design-control lockup proportions.,The reception V design must be proportionate to the F45 Training logo per the specifications in this document.
reception-signage-layout-exemption,reception,16,process,needs_metadata_or_context,high,human_queue_metadata,reception,1,"Whether the absence of reception signage is permitted depends on layout suitability and HQ confirmation, not visible in a photo.","Not all studio layouts can accommodate reception signage; open-plan studios generally cannot install it, and the franchisee must contact F45 HQ to confirm whether their studio is suitable for reception signage."
reception-wall-light-gray-floor-ceiling,reception,16,must,needs_metadata_or_context,high,human_queue_metadata,reception,1,Vision confirms light-gray family floor-to-ceiling behind reception; exact SKU needs docs.,The reception signage must be on a wall painted the lighter shade of gray from floor to ceiling.
racing-stripe-multi-window-alternating,tagline,25,must,auto_vision,medium,phase2_ref,storefront,1,Identify multiple windows on each side of the door; OCR the stripes and verify both taglines appear and alternate across panels on both sides.,Studios with more than one window on either side of the storefront door will install both the 'Team Training. Life Changing.' and '45 Minutes To Change Your Life' taglines on both sides in an alternating fashion.
racing-stripe-one-window-tagline,tagline,25,must,auto_vision,high,phase2_ref,storefront,1,"Count storefront windows; if one, OCR the stripe and confirm it shows 'Team Training. Life Changing.' and not the other tagline.",Studios with one storefront window will install only the 'Team Training. Life Changing.' tagline.
racing-stripe-two-windows-tagline-split,tagline,25,must,auto_vision,high,phase2_ref,storefront,1,Confirm exactly two windows; OCR left and right stripes and verify the correct tagline is on each side in the correct left/right placement.,Studios with two storefront windows will install the 'Team Training. Life Changing.' tagline on the left window and '45 Minutes To Change Your Life' on the right window.
v-design-behind-logo,v-design,13,must,auto_vision,high,mvp_core,logo_wall;v_design_close,2,Verify the logo is centered over and visually in front of the V graphic on the same feature wall.,"The V design must be painted behind the main interior F45 Training Wall Logo (i.e., the V sits behind the LED backlit logo)."
v-design-mandatory,v-design,13,must,auto_vision,high,mvp_core,logo_wall;v_design_close,2,Vision model detects a V-shaped two-tone painted design located behind/around the F45 logo on the feature wall.,Painting a V design in the studio is mandatory; it must be painted behind the main interior F45 Training Wall Logo.
v-design-top-2x-bottom,v-design,13,must,auto_vision,high,phase2_ref,logo_wall;v_design_close,1,"Measure the band widths of the wide (upper) and narrow (lower) V sections in pixels and confirm a 2:1 ratio; this is relative, so no scale reference is needed.",The top (upper wide) section of the V must be 2x the width of the bottom (lower narrow) section.
v-own-feature-wall-no-equipment,v-design,13,must,auto_vision,high,phase2_ref,logo_wall;v_design_close,2,"Vision model checks the V/logo feature wall is unobstructed by equipment, racks, or fixtures.",The V design must be on its own feature wall with no equipment or fixtures.
v-top-2x-bottom-width,v-design,13,must,auto_vision,high,phase2_ref,logo_wall;v_design_close,1,"Vision model measures the relative band widths of the upper vs lower V sections and checks the ~2:1 ratio (relative, not absolute).","The top section of the V should be 2x the width of the bottom section (upper 15"" vs lower 7.5"")."
v-design-base-28in,v-design,13,must,needs_scale_reference,high,phase2_measure,logo_wall;v_design_close,1,Measure floor-to-lowest-V-point pixel distance and convert to inches via a known reference; compare to 28in.,The V design must be painted 28 inches from the floor to the lowest point of the V.
v-design-lower-7p5in-spatial-white,v-design,13,must,needs_scale_reference,high,phase2_measure,logo_wall;v_design_close,1,"Width: convert pixel band width to inches via known reference, compare to 7.5in. Color: confirm an off-white/very-light gray family; exact SW6259 needs a color reference.",The lower narrow section of the V must be 7.5 inches wide and painted Sherwin Williams SW 6259 | Spatial White.
v-design-upper-15in-unique-gray,v-design,13,must,needs_scale_reference,high,phase2_measure,logo_wall;v_design_close,1,"Width: convert measured pixel band width to inches via a known reference, compare to 15in. Color: confirm a mid/dark gray family; exact SW6260 needs a color reference.",The upper wide section of the V must be 15 inches wide and painted Sherwin Williams SW 6260 | Unique Gray.
v-painted-28in-from-floor,v-design,"12, 13, 14",must,needs_scale_reference,high,phase2_measure,logo_wall;v_design_close,1,"Vision model measures floor-to-lowest-V distance only with a known scale reference (e.g. a person, door, or two-point ruler) in the frame.","The V design must be painted 28"" (70cm) from the floor to the lowest point of the V."
v-90-degree-angle,v-design,13,must,auto_vision,medium,human_queue,logo_wall;v_design_close,1,Vision model estimates the apex angle of the V from a roughly front-on photo and checks it is ~90 degrees.,The V design must be a 90-degree angle.
v-behind-led-backlit-logo,v-design,13,must,auto_vision,medium,human_queue,logo_wall;v_design_close,1,Vision model confirms the painted V sits behind/around the logo and that the logo appears LED backlit (visible halo glow).,The V design must be behind the F45 Training LED backlit logo.
v-design-90-degree-angle,v-design,13,must,auto_vision,medium,human_queue,logo_wall;v_design_close,1,Measure the interior angle at the apex of the V from the two leg edges; compare to 90 degrees.,The V design must form a 90-degree angle.
v-decal-requires-preferred-vendor-and-approval,v-design,13,optional,needs_metadata_or_context,high,human_queue_metadata,logo_wall;v_design_close,2,"Whether a V is a decal or paint is hard to tell from a photo, and authorization (preferred vendor + HQ approval) is not visible; requires HQ/vendor records.",F45 HQ may approve a decal V instead of a painted V only if the franchisee has engaged F45 HQ's preferred signage vendor; the franchisee must contact HQ to install a V decal.
v-design-exact-colors-only,v-design,13,must,needs_metadata_or_context,high,human_queue_metadata,logo_wall;v_design_close,1,Vision confirms two-tone gray V with the correct relative darkness (upper darker than lower); exact brand SKUs require paint documentation or a color reference card.,The painted V design must be painted only in the specified colors (upper = SW6260 Unique Gray / Dulux Night Jewels 5; lower = SW6259 Spatial White / Dulux Gray Steel 3 / Polished Pebble).
v-design-length-varies-wall-height,v-design,13,process,needs_metadata_or_context,medium,human_queue_metadata,logo_wall;v_design_close,1,"This is a design rule, not a single threshold; correctness depends on wall height which needs a scale reference plus the design-control derivation.",The length of the V legs varies depending on the height of the wall (no fixed length).
v-lower-section-color-spatial-white,v-design,"9, 13, 14",must,needs_metadata_or_context,high,human_queue_metadata,logo_wall;v_design_close,2,Vision model confirms the lower/narrower V band is the lighter near-white tone; exact SW6259 requires paint metadata.,The lower narrow section of the V design must be Sherwin Williams SW 6259 | Spatial White (also referenced on Dulux as Gray Steel 3 / Polished Pebble).
v-upper-section-color-unique-gray,v-design,"9, 13, 14",must,needs_metadata_or_context,high,human_queue_metadata,logo_wall;v_design_close,2,Vision model confirms the upper/wider V band is a darker gray than the lower band; exact SW6260 requires paint metadata.,The upper wide section of the V design must be Sherwin Williams SW 6260 | Unique Gray (also referenced on Dulux as Night Jewels 5).
v-design-proportionate-to-logo,v-design,"12, 13",must,human_review_only,medium,human_queue_legal,logo_wall;v_design_close,2,Whether the V is 'proportionate' to the logo is a subjective design-control judgment best left to HQ reviewer comparison against the control document.,The V design must be painted proportionate to the F45 Training logo per the design control document.
v-length-varies-with-wall-height,v-design,"13, 14",should,human_review_only,low,human_queue_legal,logo_wall;v_design_close,1,"This is guidance that V length scales with wall height; there is no fixed value to test, so it is a contextual design-review judgment rather than a photo check.",The length of the V varies depending on the height of the wall.
wrap-one-window-copyline-qr-logo,window-wrap,"29, 30, 31, 32, 37",must,auto_vision,high,mvp_core,storefront,1,"Scan all window panels; verify at least one panel simultaneously shows the 'Team Training. Life Changing.' tagline text, a QR code, and the F45 logo together.",One window panel must contain the copyline 'TEAM TRAINING LIFE CHANGING' plus the QR code plus the F45 logo.
window-wrap-kit-paired-door-decal,window-wrap,38,must,auto_vision,high,phase2_ref,storefront,1,"From a wide storefront photo, detect (a) full-coverage perforated vinyl window wraps across the windows and (b) a printed door decal on the entry door. Verify both are present together, not one without the other.","HQ mandates installation of the full window wrap kit, which must always be paired with the complete door decal."
additional-signage-no-wraps-dual-offering,window-wrap,40,process,needs_metadata_or_context,low,human_queue_metadata,storefront,1,"Applicability depends on the studio offering dual F45+Recovery branding and landlord wrap permission, both of which are context not in a photo.","For studios that have both F45 Training and Recovery by F45 offerings and where wraps are not permitted by the landlord, the open-studio example branding configuration applies."
preopen-door-covering-temporary,window-wrap,28,process,needs_metadata_or_context,medium,human_queue_metadata,storefront,1,"Vision can detect a blue-background temporary door covering, but confirming it is correctly present (pre-open) or correctly removed depends on knowing the studio's open/closed status (context).","The pre-open door covering is a simplified temporary version of the permanent decal, built into the blue background, in place only while the studio is closed and removed once the studio is ready to open."
